Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
, Viagens Atraidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Destino ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
320," 10,102 "," 27,582 "," 37,684 "," 2,476 "," 40,160 "
321," 29,945 "," 28,273 "," 58,219 "," 53,108 "," 111,326 "
322," 26,313 "," 42,937 "," 69,249 "," 13,955 "," 83,204 "
323," 25,674 "," 51,343 "," 77,017 "," 8,972 "," 85,989 "
324," 47,414 "," 27,869 "," 75,284 "," 23,113 "," 98,397 "
325," 35,090 "," 18,711 "," 53,802 "," 38,284 "," 92,086 "
326," 23,752 "," 32,628 "," 56,380 "," 23,287 "," 79,667 "
327," 25,604 "," 24,778 "," 50,382 "," 24,705 "," 75,087 "
328," 7,739 "," 22,679 "," 30,418 "," 2,579 "," 32,997 "
329," 8,898 "," 15,792 "," 24,690 "," 4,091 "," 28,781 "
330," 20,324 "," 28,595 "," 48,919 "," 8,625 "," 57,544 "
331," 11,989 "," 16,112 "," 28,102 "," 12,113 "," 40,214 "
332," 19,862 "," 24,732 "," 44,594 "," 13,678 "," 58,272 "
333," 22,405 "," 19,546 "," 41,951 "," 5,889 "," 47,840 "
334," 8,435 "," 11,938 "," 20,373 "," 10,559 "," 30,931 "
335," 18,537 "," 17,609 "," 36,146 "," 13,706 "," 49,852 "
336," 12,919 "," 27,934 "," 40,854 "," 9,135 "," 49,988 "
337," 17,905 "," 48,511 "," 66,417 "," 6,318 "," 72,734 "
338," 11,245 "," 20,045 "," 31,290 "," 6,197 "," 37,487 "
339," 23,879 "," 12,653 "," 36,532 "," 16,756 "," 53,288 "
340," 37,213 "," 24,734 "," 61,946 "," 5,859 "," 67,805 "
341," 11,177 "," 19,323 "," 30,500 "," 1,817 "," 32,318 "
342," 5,735 "," 13,082 "," 18,817 "," 4,603 "," 23,420 "
