 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 259 ,"12,334",265,0,0,566,"1,450",180,457,645,"15,898"
 260 ,"16,693","2,289",740,0,"2,490","5,478",0,0,0,"27,690"
 261 ,"11,816","4,346",0,0,"1,209","9,643",0,0,0,"27,013"
 262 ,"17,281","2,204",531,0,"6,624","7,381",0,904,0,"34,925"
 263 ,"16,556","2,319",0,0,"1,558","6,755",0,403,0,"27,592"
 264 ,"18,636","1,887",253,235,"6,291","7,428",0,"1,504",0,"36,235"
 265 ,"11,420","1,486",196,0,"1,553","6,241",349,0,0,"21,245"
 266 ,"4,926","1,180",405,85,"1,657","1,234",0,0,0,"9,486"
 267 ,"7,131","1,416",369,0,"1,447","3,101",0,179,0,"13,644"
 268 ,"2,499",338,225,314,"1,950","1,198",174,201,28,"6,927"
 269 ,"6,811",549,0,"2,087","1,871","2,410","2,095",0,0,"15,823"
 270 ,"1,943",272,483,90,"1,492","1,046",39,26,0,"5,391"
 271 ,,,,,,,,,,
 272 ,"4,905",162,279,563,"2,385","1,679",0,365,0,"10,338"
 273 ,"22,444","2,976",630,236,"2,732","5,352",290,222,0,"34,884"
 274 ,"10,966",0,"1,310",0,"2,575","3,452",0,218,0,"18,522"
 275 ,"12,860",566,"1,056",736,"2,716","3,135",344,0,0,"21,412"
 276 ,"30,616","3,070","1,954",0,"3,890","5,712",0,0,0,"45,240"
 277 ,"15,188",0,450,0,"4,206","7,875","2,702",0,"1,046","31,467"
 278 ,"35,349","6,831",514,"1,056","3,942","11,096",0,0,0,"58,788"
 279 ,"19,182","2,850","1,212",681,"6,335","7,219",0,126,126,"37,729"
 280 ,"5,705",0,907,0,"2,405","1,891",0,0,0,"10,909"
